times,model,Accuracy,,/Users/zhenghongtao/opt/anaconda3/python.app/Contents/MacOS/python /Users/zhenghongtao/Desktop/pythonProject1/anove_lm.py
7,4,0.721159103,,
7,4,0.737834882,,
7,4,0.732914161,,
7,4,0.724439584,,
7,4,0.712411154,,
7,4,0.719245489,,
7,4,0.724439584,,
7,4,0.717331875,,
7,4,0.721432477,,
7,4,0.726079825,,
7,4,0.722799344,,
7,4,0.718151996,,
7,4,0.718972116,,
7,4,0.727173319,,
7,4,0.717058502,,
7,5,0.710552214,,
7,5,0.701257518,,
7,5,0.700164024,,
7,5,0.695516676,,
7,5,0.693603062,,
7,5,0.680754511,,
7,5,0.701804265,,
7,5,0.683761618,,
7,5,0.693876435,,
7,5,0.693056315,,
7,5,0.697156916,,
7,5,0.693876435,,
7,5,0.693603062,,
7,5,0.693603062,,
7,5,0.703171132,,
7,5,0.703444505,,
7,5,0.696610169,,
7,5,0.708365227,,
7,5,0.701257518,,
7,5,0.700164024,,
7,6,0.659732094,,
7,6,0.650164024,,
7,6,0.651530891,,
7,6,0.64907053,,
7,6,0.642236195,,
7,6,0.627200656,,
7,6,0.645790049,,
7,6,0.634855112,,
7,6,0.640869328,,
7,6,0.644696555,,
7,6,0.656178239,,
7,6,0.640869328,,
7,6,0.641689448,,
7,6,0.639775834,,
7,6,0.650710771,,
7,6,0.652897758,,
7,6,0.648523783,,
7,6,0.659185347,,
7,6,0.647977037,,
7,6,0.652624385,,
8,1,0.802040254,,
8,1,0.799834574,,
8,1,0.790184726,,
8,1,0.793217535,,
8,1,0.787427626,,
8,1,0.781913427,,
8,1,0.787427626,,
8,1,0.776399228,,
8,1,0.784394817,,
8,1,0.76564654,,
8,1,0.789633306,,
8,1,0.784394817,,
8,1,0.781362007,,
8,1,0.787979046,,
8,1,0.791287565,,
8,1,0.786324786,,
8,1,0.785773366,,
8,1,0.785497656,,
8,1,0.785221947,,
8,1,0.791838985,,
8,3,0.816459884,,
8,3,0.821698373,,
8,3,0.825558313,,
8,3,0.824455473,,
8,3,0.814805624,,
8,3,0.814805624,,
8,3,0.820044114,,
8,3,0.812048525,,
8,3,0.819216984,,
8,3,0.816735594,,
8,3,0.818941274,,
8,3,0.819216984,,
8,3,0.820044114,,
8,3,0.812324235,,
8,3,0.817838434,,
8,3,0.817011304,,
8,3,0.814529915,,
8,3,0.815357044,,
