times,model,Accuracy,F1 Score,Recall,Precision,weighted_precision,weighted_recall,test_accuracy,test_f1_weighted
1,5,0.691397849,0.683062081,0.691397849,0.682248925,0.682248925,0.691397849,0.679032258,0.673000058
1,5,0.700806452,0.693864456,0.700806452,0.696276073,0.696276073,0.700806452,0.684139785,0.675444312
1,5,0.71344086,0.702549466,0.71344086,0.701072466,0.701072466,0.71344086,0.686290323,0.676689481
1,5,0.708602151,0.699002868,0.708602151,0.698532189,0.698532189,0.708602151,0.691129032,0.68523137
1,5,0.705376344,0.697273773,0.705376344,0.701950176,0.701950176,0.705376344,0.687903226,0.680200401
1,5,0.702956989,0.694539474,0.702956989,0.695877924,0.695877924,0.702956989,0.681989247,0.672686699
1,5,0.702150538,0.693353274,0.702150538,0.697758091,0.697758091,0.702150538,0.691397849,0.68632331
1,5,0.690591398,0.680101217,0.690591398,0.680778329,0.680778329,0.690591398,0.666129032,0.656928699
1,6,0.645967742,0.635013907,0.645967742,0.636887458,0.636887458,0.645967742,0.627419355,0.620104974
1,6,0.651344086,0.637452845,0.651344086,0.637752468,0.637752468,0.651344086,0.642741935,0.635372326
1,6,0.654301075,0.642864746,0.654301075,0.643768693,0.643768693,0.654301075,0.624193548,0.611386097
1,6,0.649193548,0.63698094,0.649193548,0.636847485,0.636847485,0.649193548,0.625806452,0.616043162
1,6,0.641666667,0.629214217,0.641666667,0.630835251,0.630835251,0.641666667,0.637903226,0.628195031
1,6,0.652150538,0.639265966,0.652150538,0.642447337,0.642447337,0.652150538,0.615053763,0.606068694
1,6,0.65,0.63949728,0.65,0.642526485,0.642526485,0.65,0.618010753,0.611276746
1,6,0.64327957,0.631712187,0.64327957,0.634011388,0.634011388,0.64327957,0.627419355,0.61754871
1,6,0.64327957,0.631505388,0.64327957,0.632473568,0.632473568,0.64327957,0.632526882,0.62001503
1,6,0.655376344,0.644508111,0.655376344,0.647611382,0.647611382,0.655376344,0.631182796,0.62078073
1,6,0.657526882,0.648831159,0.657526882,0.653312375,0.653312375,0.657526882,0.635752688,0.626129822
1,6,0.64327957,0.630474126,0.64327957,0.631339824,0.631339824,0.64327957,0.630645161,0.616524178
1,6,0.639784946,0.629254188,0.639784946,0.628610739,0.628610739,0.639784946,0.630645161,0.621914262
1,6,0.641666667,0.630548375,0.641666667,0.630621318,0.630621318,0.641666667,0.630107527,0.61961211
1,6,0.657795699,0.64532279,0.657795699,0.644703327,0.644703327,0.657795699,0.631989247,0.619119756
1,6,0.659946237,0.646373357,0.659946237,0.645927455,0.645927455,0.659946237,0.637096774,0.626957332
1,6,0.656451613,0.645072668,0.656451613,0.650527795,0.650527795,0.656451613,0.639784946,0.628212035
1,6,0.653225806,0.640295437,0.653225806,0.641783314,0.641783314,0.653225806,0.627688172,0.615086258
1,6,0.652956989,0.641330742,0.652956989,0.644490965,0.644490965,0.652956989,0.641397849,0.635532605
1,6,0.638172043,0.625372515,0.638172043,0.624403948,0.624403948,0.638172043,0.622580645,0.609486216
2,1,0.781989247,0.781079779,0.781989247,0.78160503,0.78160503,0.781989247,0.446505376,0.443136123
2,1,0.79811828,0.797252247,0.79811828,0.797781416,0.797781416,0.79811828,0.457526882,0.455634882
2,1,0.787634409,0.787238943,0.787634409,0.787964649,0.787964649,0.787634409,0.466129032,0.463367164
2,1,0.785752688,0.784528617,0.785752688,0.785135853,0.785135853,0.785752688,0.449462366,0.44812063
2,1,0.782258065,0.781126491,0.782258065,0.781230979,0.781230979,0.782258065,0.441129032,0.439341884
2,1,0.792204301,0.791321617,0.792204301,0.792171684,0.792171684,0.792204301,0.450537634,0.449680826
2,1,0.780645161,0.77897945,0.780645161,0.779264718,0.779264718,0.780645161,0.448655914,0.446872032
2,1,0.784139785,0.782690599,0.784139785,0.784387122,0.784387122,0.784139785,0.452688172,0.451632442
2,1,0.777150538,0.776236592,0.777150538,0.777847052,0.777847052,0.777150538,0.451075269,0.447404873
2,1,0.775,0.773629125,0.775,0.773954975,0.773954975,0.775,0.456451613,0.455455766
2,1,0.788172043,0.787045594,0.788172043,0.787392477,0.787392477,0.788172043,0.441129032,0.439208329
2,1,0.777150538,0.776236592,0.777150538,0.777847052,0.777847052,0.777150538,0.453225806,0.451056393
2,1,0.781989247,0.781102419,0.781989247,0.782466162,0.782466162,0.781989247,0.446505376,0.445552561
2,1,0.784139785,0.783673777,0.784139785,0.784261904,0.784261904,0.784139785,0.458333333,0.455958441
2,1,0.790053763,0.789067676,0.790053763,0.790207971,0.790207971,0.790053763,0.465591398,0.463445718
2,1,0.78655914,0.786014331,0.78655914,0.786232232,0.786232232,0.78655914,0.474731183,0.472379735
2,1,0.784139785,0.782591875,0.784139785,0.783841947,0.783841947,0.784139785,0.452419355,0.450135336
2,1,0.781451613,0.780407002,0.781451613,0.781434355,0.781434355,0.781451613,0.446236559,0.443640305
2,1,0.789784946,0.788618415,0.789784946,0.789988515,0.789988515,0.789784946,0.464247312,0.462238847
2,1,0.775,0.77365869,0.775,0.774447974,0.774447974,0.775,0.454301075,0.45459745
2,3,0.822849462,0.822942876,0.822849462,0.823212072,0.823212072,0.822849462,0.715053763,0.714325571
2,3,0.815860215,0.815892455,0.815860215,0.816241076,0.816241076,0.815860215,0.71344086,0.712899187
2,3,0.820430108,0.820498857,0.820430108,0.820910142,0.820910142,0.820430108,0.710752688,0.710527385
2,3,0.811021505,0.811021397,0.811021505,0.811336688,0.811336688,0.811021505,0.705913978,0.705414335
2,3,0.813172043,0.813207699,0.813172043,0.813408949,0.813408949,0.813172043,0.715860215,0.715531576
2,3,0.822043011,0.82193883,0.822043011,0.822199537,0.822199537,0.822043011,0.715053763,0.71480537
2,3,0.822311828,0.822328758,0.822311828,0.822731558,0.822731558,0.822311828,0.727419355,0.725930922
2,3,0.823924731,0.823948741,0.823924731,0.82430296,0.82430296,0.823924731,0.72016129,0.72007735
2,3,0.818010753,0.817973502,0.818010753,0.818348611,0.818348611,0.818010753,0.714784946,0.714857775
2,3,0.813172043,0.813085044,0.813172043,0.813520818,0.813520818,0.813172043,0.716935484,0.716994431
2,3,0.813172043,0.813330719,0.813172043,0.814086487,0.814086487,0.813172043,0.716129032,0.715385468
2,3,0.818010753,0.817973502,0.818010753,0.818348611,0.818348611,0.818010753,0.717473118,0.717404905
2,3,0.816666667,0.816630246,0.816666667,0.817009075,0.817009075,0.816666667,0.722043011,0.721217925
2,3,0.819086022,0.819057669,0.819086022,0.819063839,0.819063839,0.819086022,0.724193548,0.724371471
2,3,0.822580645,0.822603308,0.822580645,0.822945047,0.822945047,0.822580645,0.731989247,0.732153013
2,3,0.811290323,0.811275205,0.811290323,0.811514407,0.811514407,0.811290323,0.710215054,0.709213428
2,3,0.816666667,0.816578558,0.816666667,0.816669701,0.816669701,0.816666667,0.719892473,0.719229769
2,3,0.808064516,0.808122724,0.808064516,0.808414936,0.808414936,0.808064516,0.715322581,0.714455591
2,3,0.815591398,0.815523897,0.815591398,0.815743466,0.815743466,0.815591398,0.721774194,0.721137098
2,3,0.812096774,0.812053864,0.812096774,0.812465159,0.812465159,0.812096774,0.714247312,0.713534059
2,4,0.709139785,0.706364027,0.709139785,0.70668812,0.70668812,0.709139785,0.421774194,0.419242459
2,4,0.732258065,0.729601637,0.732258065,0.729962892,0.729962892,0.732258065,0.414516129,0.412568257
2,4,0.723655914,0.720899302,0.723655914,0.721837421,0.721837421,0.723655914,0.418548387,0.41597385
2,4,0.713978495,0.710180524,0.713978495,0.710325302,0.710325302,0.713978495,0.419086022,0.415040964
2,4,0.714247312,0.710635188,0.714247312,0.709890497,0.709890497,0.714247312,0.414784946,0.411923771
2,4,0.727419355,0.724622549,0.727419355,0.724778002,0.724778002,0.727419355,0.419623656,0.418033185
2,4,0.72688172,0.723361516,0.72688172,0.722965059,0.722965059,0.72688172,0.41827957,0.416692497
2,4,0.715860215,0.712201276,0.715860215,0.711866249,0.711866249,0.715860215,0.437096774,0.435249069
2,4,0.729301075,0.727357017,0.729301075,0.728321655,0.728321655,0.729301075,0.427150538,0.42398023
2,4,0.726344086,0.722967818,0.726344086,0.723586826,0.723586826,0.726344086,0.420430108,0.418868022
2,4,0.723924731,0.720756955,0.723924731,0.721000112,0.721000112,0.723924731,0.412634409,0.410671163
2,4,0.729301075,0.727357017,0.729301075,0.728321655,0.728321655,0.729301075,0.422849462,0.42103049
2,4,0.712903226,0.71026545,0.712903226,0.71017482,0.71017482,0.712903226,0.419354839,0.416993153
2,4,0.71827957,0.715217449,0.71827957,0.714561088,0.714561088,0.71827957,0.420430108,0.417223536
2,4,0.725,0.722863526,0.725,0.723796087,0.723796087,0.725,0.433870968,0.431383344
2,4,0.71827957,0.715843802,0.71827957,0.715217254,0.715217254,0.71827957,0.437634409,0.435262967
2,4,0.712096774,0.708190688,0.712096774,0.708724095,0.708724095,0.712096774,0.426075269,0.423094133
2,4,0.714516129,0.712057767,0.714516129,0.712052199,0.712052199,0.714516129,0.421236559,0.420052959
2,4,0.720430108,0.716111524,0.720430108,0.716984837,0.716984837,0.720430108,0.420967742,0.418238086
2,4,0.713978495,0.710318059,0.713978495,0.710726404,0.710726404,0.713978495,0.428225806,0.425822626
2,5,0.7,0.69213668,0.7,0.693831068,0.693831068,0.7,0.680645161,0.676485692
2,5,0.696505376,0.68496686,0.696505376,0.685459928,0.685459928,0.696505376,0.691397849,0.686321642
2,5,0.699193548,0.691688148,0.699193548,0.692997345,0.692997345,0.699193548,0.688709677,0.680744924
2,5,0.692204301,0.684055412,0.692204301,0.686197163,0.686197163,0.692204301,0.680913978,0.673460629
2,5,0.690322581,0.681841534,0.690322581,0.684081224,0.684081224,0.690322581,0.682795699,0.675735168
2,5,0.691129032,0.681916121,0.691129032,0.683300915,0.683300915,0.691129032,0.671505376,0.665094974
2,5,0.69811828,0.690756697,0.69811828,0.691969834,0.691969834,0.69811828,0.678225806,0.673713539
